ProductName,ProductCode,ProductTypeName,ProductMainGroupName,ProductSubGroupName,UOMName,PhysicalStockQty
PU Foam Driver Seat,PFDS,Ready to Fit,Assembling,Assembling,Pcs,
Pu Pipe 10MM,PP10MM,Raw Material,Fabrication,Fabrication,Meter,
Pv Connector,PC,Consumable,Assembling,Assembling,Pcs,
PVC Handle,PVC H,Ready to Fit,Assembling,Assembling,Pcs,
PVC Hole Closer 38mm,PHC38MM,Finished Good,FinishedGood,Finished Good,Pcs,
Quanta,QNTA,Ready to Fit,Assembling,Assembling,Set,
Reached Handle 1715,RH1715,Raw Material,Fabrication,Fabrication,Pcs,
Rear axel washer,raw001,Raw Material,Assembling,Assembling,Pcs,
Rear Axle,RAXL,Ready to Fit,Assembling,Assembling,Pcs,
Rear Bearing,RB,Ready to Fit,Assembling,Assembling,Pcs,
Rear Break Wire,RBW,Ready to Fit,Assembling,Assembling,Pcs,
Rear Drum,RD,Ready to Fit,Assembling,Assembling,Pcs,
Rear Drum Brake Shoe Sets,RDBS,Ready to Fit,Assembling,Assembling,Set,
Rear Drum Plate,RDPLT,Ready to Fit,Assembling,Assembling,Pcs,
Rear Shocker Jhulla With Patti,RSJP,Ready to Fit,Assembling,Assembling,Set,
Rear Shocker sumfonl,RS,Ready to Fit,Assembling,Assembling,Pcs,
Rear Shocker Victory,KS,Ready to Fit,Assembling,Assembling,Pcs,
Regmark,RM,Consumable,Assembling,Assembling,Pcs,
Regulator,R10,Raw Material,Painting,Painting,Pcs,
Retarder STG555,STG555,Raw Material,Painting,Painting,Ltr,
Rexin,COW,Ready to Fit,Assembling,Assembling,Meter,
Rickshaw Battery,Battery,Ready to Fit,Assembling,Assembling,Pcs,
Rim,RIM,Ready to Fit,Assembling,Assembling,Pcs,
Rockwood Density -96,RD96,Raw Material,Fabrication,Fabrication,Pkt,
Roof Light,RLT,Ready to Fit,Assembling,Assembling,Per,
RUSTODIN 130,R1,Raw Material,Painting,Painting,Kg,
Satteeing Fitt Bolt,SFB,Ready to Fit,Assembling,Assembling,Set,
Scissor,Sci001,Consumable,Fabrication,Fabrication,Per,
Scooter Tube 90x90,ST90X90,Ready to Fit,Assembling,Assembling,Pcs,
Scooti Part-2,SPPP2,Ready to Fit,Assembling,Assembling,Pcs,
Scooti Parts-1,SPPP1,Ready to Fit,Assembling,Assembling,Pcs,
Scotch Brite,SB,Consumable,Assembling,Assembling,Pcs,
Scotch Brite1,Sco001,Consumable,Assembling,Assembling,Pcs,
Seat Frame Sumfonl,SSFE,Ready to Fit,Assembling,Assembling,Pcs,
Seat Frame Victory,SF,Ready to Fit,Assembling,Assembling,Pcs,
Seat Lock Clamp (Iron),SLCI,Ready to Fit,Assembling,Assembling,Pcs,
Seat Spring,Seat Spring,Ready to Fit,Assembling,Assembling,Pcs,
Seat Sumfonl,SSV1,Ready to Fit,Assembling,Assembling,Set,
Seat Victory,St,Ready to Fit,Assembling,Assembling,Set,
Security Services,SSS,Assets,FinishedGood,Finished Good,Per,
Self Adhesive Tape 3x24,SAT3X24,Consumable,Assembling,Assembling,Pcs,
Self Adhsive Tape 2'',SAT2'',Consumable,Assembling,Assembling,Pcs,
Self Drilling Screw 12x25,SDSCREW1225,Ready to Fit,Assembling,Assembling,Pcs,
Self Drilling Screw 4.2x16,SDSCREW4216,Consumable,Assembling,Assembling,Pcs,
Self Tapping 12x25 WZP,FR,Ready to Fit,Assembling,Assembling,Kg,
Services,SERV,Consumable,Assembling,Assembling,Per,
Services Book,SBK,Ready to Fit,Assembling,Assembling,Pcs,
Sewing Machine,SCR1,Assets,Assembling,Assembling,Set,
Shocker Oil Seal,SOS,Ready to Fit,Assembling,Assembling,Set,
Shocker Upper Bolt,SUB,Ready to Fit,Assembling,Assembling,Pcs,
Side Board,SBRD,Ready to Fit,Assembling,Assembling,Pcs,
Side Glass,SG,Ready to Fit,Assembling,Assembling,Pcs,
Side Mudguard,SU,Ready to Fit,Assembling,Assembling,Pcs,
Silicon Spray,SS,Consumable,Assembling,Assembling,Pcs,
SILVER PAINT,S,Raw Material,Painting,Painting,Kg,
Sketch Pen,SP,Consumable,Assembling,Assembling,Pcs,
Slochtions,COB,Ready to Fit,Assembling,Assembling,Kg,
Small U Clamp Binding Die,SUCBD,Assets,Fabrication,Fabrication,Pcs,
Socket Head M 6X25,AG,Ready to Fit,Assembling,Assembling,Kg,
Sodium Hydroxide Con.,SHC1,Ready to Fit,Fabrication,Fabrication,Pkt,
Software,SOFT001,Consumable,Fabrication,Fabrication,Pcs,
Spanner,SPN001,Consumable,Assembling,Assembling,Pcs,
Spl. Black,PB,Raw Material,Painting,Painting,Ltr,
Spray,SPRY,Ready to Fit,Assembling,Assembling,Set,
Spray Paint GL Black,SPGB,Ready to Fit,Painting,Painting,Pcs,
Spray Paint Golden,SPG,Ready to Fit,Painting,Painting,Pcs,
Spray Paint Met Blue,SPMB1,Ready to Fit,Painting,Painting,Pcs,
Spray Paint Met. Black,SPMB,Ready to Fit,Painting,Painting,Pcs,
Spray Paint Met. Green,SPMG,Ready to Fit,Painting,Painting,Pcs,
Spray Paint Met.Yellow,SPMY,Ready to Fit,Painting,Painting,Pcs,
Spray Paint Mix,SPM1,Ready to Fit,Painting,Painting,Pcs,
Spray Paint Purple,SPP1,Ready to Fit,Painting,Painting,Pcs,
Spray Paint Silver,SPS,Ready to Fit,Painting,Painting,Pcs,
Spray Paint TPR  Red,SPTR,Ready to Fit,Painting,Painting,Pcs,
Spring Washer,SW,Ready to Fit,Assembling,Assembling,Kg,
Spring Washer 14mm,W14,Ready to Fit,Assembling,Assembling,Pcs,
Stalizer,STZR,Assets,Assembling,Assembling,Pcs,
STAPLER,ST001,Consumable,FinishedGood,Finished Good,Pcs,
Stapler Pin,COG,Ready to Fit,Assembling,Assembling,Pcs,
Stapnoy Cover,SC,Ready to Fit,Assembling,Assembling,Pcs,
Starch Iodide Paper,SIP1,Ready to Fit,Fabrication,Fabrication,Pcs,
Steelgrip Tape -8546,ST8546,Finished Good,FinishedGood,Finished Good,Pkt,
Sticker Visor Left,SVL001,Raw Material,Assembling,Assembling,Pcs,
Sticker Visor Middle,SVM001,Raw Material,Assembling,Assembling,Pcs,
Sticker Visor Right,SVR001,Raw Material,Assembling,Assembling,Pcs,
Stipper 15x3,S15x3,Consumable,Fabrication,Fabrication,Pcs,
Stopney Cover,SPC,Ready to Fit,Assembling,Assembling,Pcs,
Stoving Silver,SSV,Raw Material,Painting,Painting,Ltr,
Studs,stu001,Ready to Fit,Assembling,Assembling,Per,
Sulfuric Acid CON.,SAC1,Ready to Fit,Fabrication,Fabrication,Pkt,
Sumfonl Sticker Big,VMS,Ready to Fit,Assembling,Assembling,Pcs,
Sumfonl Sticker Small,SS5,Ready to Fit,Assembling,Assembling,Pcs,
T- Bearing Set,TBS,Ready to Fit,Assembling,Assembling,Pcs,
T- Handle,T- HAN,Ready to Fit,Assembling,Assembling,Pcs,
T-Handle plate,THPLT,Ready to Fit,Assembling,Assembling,Pcs,
T-Plate,TP,Ready to Fit,Assembling,Assembling,Pcs,
Taxi Light,TLT,Ready to Fit,Assembling,Assembling,Pcs,
Thinner,TN,Consumable,Assembling,Assembling,Ltr,
Thread(Plaster),Tp001,Consumable,Fabrication,Fabrication,Per,
Tip Holder,TH,Consumable,Assembling,Assembling,Pcs,
TONER,TO,Raw Material,Painting,Painting,Kg,
Toner 8x16,T8,Raw Material,Assembling,Assembling,Pcs,
Tool Kit,TK,Ready to Fit,Assembling,Assembling,Set,
Tools,Tls,Consumable,Assembling,Assembling,Pcs,
Top Nut,TPT,Ready to Fit,Assembling,Assembling,Pcs,
Tube & Pipe,TBP,Raw Material,Fabrication,Fabrication,Kg,
Tube 3.75-12,T3.75,Ready to Fit,Assembling,Assembling,Pcs,
Tyre 3.75-12,T10,Ready to Fit,Assembling,Assembling,Pcs,
Tyre 90x90-12,T90x90,Ready to Fit,Assembling,Assembling,Pcs,
U- BOLT,UL,Ready to Fit,Assembling,Assembling,Pcs,
UPS,UPS,Ready to Fit,FinishedGood,Finished Good,Pcs,
VIcoty Sumfonl E-Rickshaw Blue Black,SR018,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Bhim Loader,BR016,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader,Lodar,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader BLACK,BR013,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Black Mahroon,BR006,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Black Red,BR019,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Black White,BR025,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Blue,BR009,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Blue Black,BR018,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Blue Red,BR020,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Blue White,BR014,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Blue Yellow,BR015,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Brown,BR022,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Green,BR023,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Green Black,BR008,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Mahroon,BR002,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Mahroon White,BR011,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Parrot Green,BR007,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Purple,BR024,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Red,BR001,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Silver,BR005,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Silver Blue,BR003,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Silver Mahroon,BR004,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Yellow,BR012,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Yellow Black,BR017,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Yellow Green,BR010,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Bhim Loader Yellow White,BR021,Finished Good,FinishedGood,Victory Bhim Loader,Per,
Victory Big Sticker,SK,Consumable,Assembling,Assembling,Pcs,
Victory E-Rickshaw,Victory,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Black,RR013,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Black Mahroon,RR006,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-RIckshaw Black Red,RR019,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Black White,RR025,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Blue,RR009,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Blue Black,RR018,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Blue Red,RR020,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Blue White,RR014,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Blue Yellow,RR015,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Brown,RR022,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Golden,RR026,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Green,RR023,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Green Black,RR008,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Mahroon,RR002,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Mahroon White,RR011,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Parrot Green,RR007,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Purple,RR024,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Red,RR001,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Silver,RR005,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Silver Blue,RR003,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Silver Mahroon,RR004,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw White,RR016,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Yellow,RR012,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Yellow Black,RR017,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Yellow Green,RR010,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory E-Rickshaw Yellow White,RR021,Finished Good,FinishedGood,Victory E Rickshaw,Per,
Victory Plate,VP,Ready to Fit,Assembling,Assembling,Pcs,
Victory Rickshaw School Van,VRSV,Finished Good,FinishedGood,Finished Good,Per,
Victory Small Sticker,VSS,Ready to Fit,Assembling,Assembling,Pcs,
Victory Sumfonl E-Rickshaw,Sumfonl,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Black,SR013,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Black Mahroon,SR006,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Black Red,SR019,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
victory Sumfonl E-Rickshaw Black White,SR025,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Blue,SR009,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Blue Red,SR020,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Blue White,SR014,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Blue Yellow,SR015,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Brown,SR022,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Golden,S026,Finished Good,FinishedGood,Finished Good,Per,
VIctory Sumfonl E-Rickshaw Green,SR023,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
VIctory Sumfonl E-Rickshaw Green Black,SR008,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
VIctory Sumfonl E-Rickshaw Mahroon,SR002,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
VIctory Sumfonl E-Rickshaw Mahroon White,SR011,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Parrot Green,SR007,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
VIctory Sumfonl E-Rickshaw Purple,SR024,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Red,SR001,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
VIctory Sumfonl E-Rickshaw Silver,SR005,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Silver Blue,SR003,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
VIctory Sumfonl E-Rickshaw Silver Mahroon,SR004,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
VIctory Sumfonl E-Rickshaw White,SR016,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Yellow,SR012,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Yellow Black,SR017,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Sumfonl E-Rickshaw Yellow Green,SR010,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
VIctory Sumfonl E-Rickshaw Yellow White,SR021,Finished Good,FinishedGood,Victory Sumfonl E-Rickshaw,Per,
Victory Super Delux YELLOW BLACK,DR017,Finished Good,FinishedGood,Finished Good,Per,
Victory Super Delux YELLOW GREEN,DR010,Finished Good,FinishedGood,Finished Good,Per,
Vijeta E-Rickshaw,Vij001,Finished Good,FinishedGood,Finished Good,Pcs,
vijeta kamani,vik001,Ready to Fit,Assembling,Assembling,Per,
VIJETA STICKER SMALL,VSS001,Raw Material,Assembling,Assembling,Pcs,
VIJETA STICKERS BIG,VSB001,Raw Material,Assembling,Assembling,Pcs,
Visor,VSR,Ready to Fit,Assembling,Assembling,Pcs,
Visor Reflactor,VR,Ready to Fit,Assembling,Assembling,Pcs,
Washer 10 MM,WAS10,Ready to Fit,Assembling,Assembling,Kg,
Washer 16MM,W16,Ready to Fit,Assembling,Assembling,Kg,
Washer 3 MM,WASH3,Ready to Fit,Assembling,Assembling,Kg,
Washer 4 MM,WASH4,Ready to Fit,Assembling,Assembling,Kg,
Washer 5 MM,WASH5,Ready to Fit,Assembling,Assembling,Kg,
Washer 6 MM,WAS6,Ready to Fit,Assembling,Assembling,Kg,
Washer 8 MM,WAS8,Ready to Fit,Assembling,Assembling,Kg,
Washer M X18X1.2 WZP,CNS,Ready to Fit,Assembling,Assembling,Kg,
WATER,WA001,Consumable,Painting,Painting,Ltr,
Welding Goggal Black,WB,Consumable,Assembling,Assembling,Pcs,
Welding Goggal White,WW,Consumable,Assembling,Assembling,Pcs,
Welding Rod,WR,Consumable,Assembling,Assembling,Pkt,
Wheel Cover Big,WCB,Ready to Fit,Assembling,Assembling,Pcs,
Wheel Cover Small,WCS,Ready to Fit,Assembling,Assembling,Pcs,
White Glass,WG,Consumable,Assembling,Assembling,Pcs,
White Tape,WT,Consumable,Assembling,Assembling,Pcs,
White Wash Paint con,WWP1,Consumable,Painting,Painting,Pcs,
Wind Shield Glass,WSG,Ready to Fit,Assembling,Assembling,Pcs,
Window AC Hitachi,WACH,Assets,Assembling,Assembling,Pcs,
Windshield Frame,WF,Ready to Fit,Assembling,Assembling,Pcs,
Wire 1.5 Sq. mm,W15MM,Consumable,Assembling,Assembling,Roll,
Wire 1MM,W1MM,Consumable,Assembling,Assembling,Roll,
Wire 4.00sq.mm,W4SQ,Finished Good,FinishedGood,Finished Good,Roll,
Wire 6 MM,W6M,Consumable,Assembling,Assembling,Meter,
Wire Rope Hoists,WRH1,Assets,Fabrication,Fabrication,Pcs,
Wiring Duct 45x60LGI,WD45,Raw Material,FinishedGood,Finished Good,Pcs,
Wiring Set Dash Board,WSD,Ready to Fit,Assembling,Assembling,Pcs,
Wiring Set New Model,WN,Consumable,Assembling,Assembling,Pcs,
Wiring Set Old Model,WM,Consumable,Assembling,Assembling,Pcs,
Yellow Gloves,YG,Consumable,Assembling,Assembling,Pcs,
Yellow Terminal,YT,Ready to Fit,Assembling,Assembling,Pcs,
Yoke Left,YL,Ready to Fit,Assembling,Assembling,Pcs,
